Slippin' Into Darkness
Nice To Be With You

mysql> source C:\Users\emily\Documents\databases\Project\p6.txt
+--------------------------------------------------------------------------------+--------------+
| tr_title                                                                       | timesonchart |
| Your Wonderful, Sweet Sweet Love                                               |            8 |
| Don't Hide Your Love                                                           |            8 |
| Living In A House Divided                                                      |            8 |
| Afro-Strut                                                                     |            8 |
| Eddie's Love                                                                   |            8 |
| If You Let Me                                                                  |            8 |
| Hot 'N' Nasty                                                                  |            8 |
| Sweet Surrender                                                                |            8 |
| Give Ireland Back To The Irish                                                 |            8 |
| Work To Do                                                                     |            8 |
| Good Time Sally                                                                |            8 |
| Pool Of Bad Luck                                                               |            8 |
| Drowning In The Sea Of Love                                                    |            8 |
| Happy                                                                          |            8 |
| You Are Everything                                                             |            8 |
| Midnight Rider                                                                 |            8 |
| Money Runner                                                                   |            8 |
| Alabama Wild Man                                                               |            8 |
| In Time                                                                        |            8 |
| Jambalaya (On The Bayou)                                                       |            8 |
| Smoke Gets In Your Eyes                                                        |            8 |
| In The Quiet Morning                                                           |            8 |
| Slaughter                                                                      |            8 |
| You Said A Bad Word                                                            |            8 |
| Goin' Down (On The Road To L.A.)                                               |            8 |
| We're On Our Way                                                               |            8 |
| Convention 72                                                                  |            8 |
| Honky Tonk (Part 1)                                                            |            8 |
| Gimme Some More                                                                |            8 |
| Colorado                                                                       |            8 |
| Take A Look Around                                                             |            8 |
| Down To The Nightclub                                                          |            8 |
| Elected                                                                        |            8 |
| Your Mama Don't Dance                                                          |            8 |
| Powder Blue Mercedes Queen                                                     |            8 |
| My World                                                                       |            8 |
| Keeper Of The Castle                                                           |            8 |
| Help Me Make It Through The Night                                              |            8 |
| Make Me The Woman That You Go Home To                                          |            8 |
| Rock Me Baby                                                                   |            8 |
| Levon                                                                          |            8 |
| Someday Never Comes                                                            |            8 |
| If You Can Beat Me Rockin' (You Can Have My Chair)                             |            8 |
| Scorpio                                                                        |            8 |
| 992 Arguments                                                                  |            8 |
| Lies                                                                           |            8 |
| Special Someone                                                                |            8 |
| Josie                                                                          |            8 |
| Tupelo Honey                                                                   |            8 |
| Funk Factory                                                                   |            8 |
| All The King's Horses                                                          |            8 |
| Mister Can't You See                                                           |            8 |
| Walk On Water                                                                  |            8 |
| Can't You Hear The Song?                                                       |            8 |
| You Turn Me On, I'm A Radio                                                    |            8 |
| Brian's Song                                                                   |            8 |
| Mr. Penguin (Part 1)                                                           |            8 |
| I Guess I'll Miss The Man                                                      |            7 |
| Sugar Daddy                                                                    |            7 |
| Brown Eyed Girl                                                                |            7 |
| Heartbroken Bopper                                                             |            7 |
| The World Is A Ghetto                                                          |            7 |
| Standing In For Jody                                                           |            7 |
| Mama Weer All Crazee Now                                                       |            7 |
| Living Without You                                                             |            7 |
| Pain (Part 1)                                                                  |            7 |
| Smilin'                                                                        |            7 |
| The Young New Mexican Puppeteer                                                |            7 |
| Superstition                                                                   |            7 |
| This World                                                                     |            7 |
| Sitting                                                                        |            7 |
| I Got A Bag Of My Own                                                          |            7 |
| There It Is (Part 1)                                                           |            7 |
| King Heroin                                                                    |            7 |
| Talking Loud And Saying Nothing (Part 1)                                       |            7 |
| Think (About It)                                                               |            7 |
| You Can Do Magic                                                               |            7 |
| Angel                                                                          |            7 |
| Under My Wheels                                                                |            7 |
| For Emily, Whenever I May Find Her (Live)                                      |            7 |
| The Harder I Try (The Bluer I Get)                                             |            7 |
| Rock And Roll                                                                  |            7 |
| And You And I (Part 2)                                                         |            7 |
| Alive                                                                          |            7 |
| Pieces Of April                                                                |            7 |
| Daisy Mae                                                                      |            7 |
| Guilty                                                                         |            7 |
| Am I Losing You                                                                |            7 |
| Do It Again                                                                    |            7 |
| Men Of Learning                                                                |            7 |
| Tiny Dancer                                                                    |            7 |
| Beat Me Daddy Eight To The Bar                                                 |            7 |
| I Just Want To Make Love To You (Studio)                                       |            7 |
| Little Woman Love                                                              |            7 |
| Mary Had A Little Lamb                                                         |            7 |
| Changes                                                                        |            7 |
| I Will Never Pass This Way Again                                               |            7 |
| One Night Affair                                                               |            7 |
